Sample;Time;Power;Voltage;Current
0;1401998915,09554;1,392099886;5,025875969;0,276986518
1;1401998915,23128;1,399496101;5,062416271;0,276448246
2;1401998915,34555;1,48676035;5,030917625;0,295524686
3;1401998915,45688;1,383147247;5,036334232;0,274633728
4;1401998915,56919;1,363055048;5,02951604;0,271011174
5;1401998915,68247;1,393821126;5,03914253;0,276598869
6;1401998915,79576;1,378759543;5,023590954;0,274456968
7;1401998915,90709;1,466665843;5,043204921;0,290820196
8;1401998916,01842;1,466162497;5,019282199;0,29210601
9;1401998916,12976;1,443748252;5,041470097;0,286374455
10;1401998916,28113;1,461055362;5,058033756;0,288858365
11;1401998916,40418;1,369443452;5,039257598;0,271755001
12;1401998916,51747;1,336808691;5,019407932;0,266327963
13;1401998916,63466;1,453534215;5,032166922;0,288848569
14;1401998916,74794;1,448177971;5,037087609;0,287503034
15;1401998916,85928;1,452339455;5,042484879;0,288020587
16;1401998916,97061;1,406753961;5,032306008;0,279544598
17;1401998917,08194;1,476944131;5,030508491;0,293597384
18;1401998917,19425;1,391674907;5,030420491;0,276651805
19;1401998917,30558;1,505704667;5,021891944;0,299828169
20;1401998917,41692;1,384064706;5,019361957;0,275745148
21;1401998917,53020;1,43611876;5,037901302;0,285062901
22;1401998917,64153;1,430151052;5,03437104;0,284077403
23;1401998917,75482;1,532014254;5,05591549;0,303014213
24;1401998917,86615;1,412507554;5,03862273;0,280336042
25;1401998917,97748;1,404507831;5,046083396;0,278336231
26;1401998918,08882;1,400017987;5,036420551;0,277978769
27;1401998918,20015;1,363152535;5,040873433;0,270419909
28;1401998918,31246;1,480484517;5,03748311;0,293893693
29;1401998918,42379;1,405751963;5,023965047;0,279809264
30;1401998918,53512;1,383813245;5,050634487;0,273988001
31;1401998918,64645;1,477969071;5,00506924;0,295294431
32;1401998918,75779;1,42517248;5,03598859;0,282997559
33;1401998918,87107;1,427774991;5,033046926;0,283680047
34;1401998918,98241;1,423344585;5,040502404;0,282381491
35;1401998919,09471;1,420437042;5,033527124;0,28219517
36;1401998919,20800;1,437818898;5,045627326;0,284963356
37;1401998919,31933;1,450377653;5,028053978;0,288457057
38;1401998919,43262;1,491204561;5,054051726;0,295051306
39;1401998919,54395;1,416446319;5,043353155;0,280854082
40;1401998919,65528;1,413066796;5,043893183;0,280153989
41;1401998919,76661;1,437225557;5,046480319;0,284797615
42;1401998919,87795;1,403668638;5,036411516;0,27870412
43;1401998919,98928;1,40379318;5,04422978;0,278296834
44;1401998920,10159;1,415526266;5,040104751;0,280852549
45;1401998920,21292;1,436807152;5,02893007;0,285708318
46;1401998920,32523;1,544168579;5,035971885;0,30662772
47;1401998920,43949;1,413890041;5,028946152;0,281150364
48;1401998920,55278;1,419813251;5,018536257;0,282913817
49;1401998920,66606;1,428627369;5,043012571;0,283288481
50;1401998920,77837;1,552245745;5,020557454;0,309177967
51;1401998920,89068;1,451773864;5,039562201;0,288075393
52;1401998921,00201;1,444311858;5,042763436;0,286412773
53;1401998921,11335;1,433348579;5,031918897;0,284851288
54;1401998921,22468;1,435081199;5,038602172;0,284817326
55;1401998921,33601;1,453598559;5,039479213;0,288442218
56;1401998921,44832;1,422332507;5,018943038;0,283392837
57;1401998921,55965;1,436045337;5,022967825;0,285895787
58;1401998921,67099;1,392136702;5,024307154;0,277080334
59;1401998921,78232;1,454367149;5,038863141;0,288630016
60;1401998921,89463;1,466920721;5,033137034;0,291452569
61;1401998922,00596;1,374064772;5,031875356;0,2730721
62;1401998922,11924;1,462697034;5,050394312;0,289620363
63;1401998922,23058;1,379107984;5,029502872;0,274203638
64;1401998922,34386;1,494715635;5,036413946;0,296781728
65;1401998922,45617;1,462969173;5,039124832;0,290322074
66;1401998922,56750;1,37514778;5,025729924;0,273621504
67;1401998922,68079;1,428629861;5,036393031;0,283661313
68;1401998922,79408;1,360679571;5,031194168;0,27044863
69;1401998922,90541;1,391198242;5,030183853;0,276570058
70;1401998923,01772;1,435606834;5,044708184;0,284576785
71;1401998923,13003;1,360981286;5,031562223;0,270488812
72;1401998923,24136;1,426532018;5,021441322;0,284088158
73;1401998923,35464;1,388864645;5,033832296;0,275906022
74;1401998923,46695;1,396883665;5,012624796;0,278673095
75;1401998923,57828;1,477723359;5,031918712;0,293669958
76;1401998923,68962;1,442578393;5,030047516;0,2867922
77;1401998923,80095;1,440107975;5,045750264;0,285410078
78;1401998923,91228;1,433750352;5,021005039;0,285550471
79;1401998924,02459;1,408205556;5,042283625;0,279279323
80;1401998924,13690;1,513742104;5,025852207;0,30119113
81;1401998924,24823;1,410043262;5,04205437;0,279656497
82;1401998924,35956;1,392368948;5,029530646;0,276838744
83;1401998924,47090;1,473241027;5,042401686;0,292170501
84;1401998924,58223;1,40231545;5,034613523;0,278534875
85;1401998924,69356;1,452058968;5,054557296;0,28727718
86;1401998924,80489;1,408376425;5,034913174;0,279722088
87;1401998924,91623;1,440989662;5,030826679;0,286431983
88;1401998925,03147;1,433657601;5,034948275;0,284741277
89;1401998925,14377;1,423492292;5,044762114;0,282172332
90;1401998925,25608;1,42381689;5,039213347;0,282547452
91;1401998925,36839;1,389216357;5,021799997;0,276637134
92;1401998925,47972;1,383770579;5,044481522;0,274313737
93;1401998925,59203;1,367063692;5,04733977;0,270848359
94;1401998925,70337;1,352525594;5,022457006;0,269295604
95;1401998925,81763;1,452650698;5,043787225;0,288007926
96;1401998925,92896;1,345840776;5,031674245;0,267473749
97;1401998926,04127;1,390901977;5,03354511;0,276326515
98;1401998926,15260;1,395917983;5,029858641;0,277526285
99;1401998926,26491;1,449497936;5,027726002;0,288300901
100;1401998926,37624;1,476762067;5,039005367;0,293066183
101;1401998926,48758;1,409338939;5,033871603;0,279971173
102;1401998926,59891;1,396355843;5,030257616;0,277591318
103;1401998926,71024;1,376228144;5,024180574;0,273920916
104;1401998926,82157;1,478012904;5,024368365;0,294168898
105;1401998926,93388;1,507875122;5,037289463;0,29934256
106;1401998927,04522;1,395724988;5,045534032;0,27662582
107;1401998927,15752;1,405443952;5,036002724;0,279079268
108;1401998927,27081;1,459581436;5,035572835;0,289854101
109;1401998927,38214;1,40943403;5,04464979;0,279391848
110;1401998927,49347;1,498713241;5,037671091;0,297501209
111;1401998927,60481;1,393549844;5,025294871;0,277307079
112;1401998927,71712;1,499849818;5,027787213;0,298312111
113;1401998927,82942;1,378991202;5,022132648;0,274582792
114;1401998927,94076;1,463174867;5,024571349;0,291203919
115;1401998928,05209;1,576061435;5,040502205;0,312679446
116;1401998928,16342;1,443206473;5,028243706;0,287019993
117;1401998928,27475;1,497575906;5,035098676;0,29742732
118;1401998928,38609;1,514589926;5,02448208;0,301442
119;1401998928,49742;1,395400623;5,038898506;0,276925725
120;1401998928,60875;1,484230819;5,035902357;0,294729864
121;1401998928,72008;1,461961744;5,031203564;0,290578929
122;1401998928,83142;1,539278968;5,032962893;0,305839523
123;1401998928,94470;1,398604716;5,018080674;0,278713079
124;1401998929,05896;1,437822578;5,032204138;0,285724215
125;1401998929,17225;1,458319527;5,034906878;0,289641807
126;1401998929,28358;1,341112163;5,01835291;0,267241501
127;1401998929,39491;1,4171912;5,037916958;0,281304994
128;1401998929,50625;1,494157901;5,031572715;0,296956436
129;1401998929,61856;1,347968538;5,03748875;0,267587404
130;1401998929,72989;1,462342591;5,031347934;0,290646286
131;1401998929,84220;1,45303747;5,047457964;0,287875101
132;1401998929,95548;1,471387577;5,020918472;0,293051478
133;1401998930,06682;1,466568403;5,034445966;0,291306812
134;1401998930,17815;1,363371213;5,016528076;0,271775856
135;1401998930,28948;1,400005428;5,029314076;0,278369059
136;1401998930,40179;1,49960845;5,033244275;0,297940725
137;1401998930,51605;1,552125932;5,039508221;0,307991547
138;1401998930,62934;1,540144026;5,015192143;0,307095717
139;1401998930,74262;1,413644193;5,030093432;0,281037363
140;1401998930,85395;1,480252038;5,0467099;0,293310308
141;1401998930,96529;1,392287276;5,034968953;0,276523508
142;1401998931,07662;1,380464612;5,034326799;0,274210369
143;1401998931,18795;1,373917066;5,019572265;0,273711981
144;1401998931,29928;1,391149517;5,032555826;0,276430022
145;1401998931,41062;1,485876417;5,039468137;0,294847864
146;1401998931,52293;1,424586439;5,011387794;0,284269847
147;1401998931,63426;1,537311537;5,048372506;0,304516264
148;1401998931,74559;1,624674587;5,044317048;0,322080189
149;1401998931,85692;2,253806718;5,025074479;0,448512102
150;1401998931,96923;2,449710418;5,018019148;0,488182756
151;1401998932,08056;2,487612368;5,0126375;0,496268156
152;1401998932,19287;2,416597569;5,023438084;0,481064468
153;1401998932,30421;2,280128892;5,01851049;0,454343753
154;1401998932,41554;2,413912421;5,013257681;0,481505754
155;1401998932,52687;2,55117744;5,019250793;0,508278535
156;1401998932,63820;2,11326247;5,054803713;0,418070135
157;1401998932,74954;1,999398594;5,028006897;0,397652317
158;1401998932,86282;2,007245639;5,035041929;0,398655198
159;1401998932,97513;1,945132593;5,04490935;0,385563438
160;1401998933,08646;1,931568917;5,039566679;0,383280754
161;1401998933,19779;1,957312681;5,036371696;0,38863547
162;1401998933,31010;2,008821224;5,039915438;0,398582327
163;1401998933,42144;1,970611596;5,018854777;0,392641685
164;1401998933,53277;1,994263177;5,023881656;0,396956639
165;1401998933,64410;2,083507981;5,030144591;0,414204392
166;1401998933,75543;2,011929445;5,024130435;0,400453267
167;1401998933,86872;2,037207852;5,024124495;0,405485145
168;1401998933,98005;1,984633929;5,048059211;0,39314791
169;1401998934,09138;2,018091755;5,033605206;0,400923726
170;1401998934,20467;1,934466027;5,024241217;0,385026503
171;1401998934,31600;1,999538041;5,024421369;0,397963844
172;1401998934,42929;1,970909594;5,026602566;0,392095768
173;1401998934,54062;2,041775117;5,030940681;0,405843608
174;1401998934,65195;2,054771466;5,04672291;0,40714965
175;1401998934,76328;1,992975978;5,03349623;0,395942678
176;1401998934,87462;2,036665718;5,03300503;0,404661968
177;1401998934,98595;2,083849741;5,022421663;0,414909357
178;1401998935,09728;1,95386763;5,025924658;0,388757843
179;1401998935,21057;1,934799967;5,052253408;0,382957823
180;1401998935,32190;2,072085344;5,027583797;0,412143373
181;1401998935,43323;1,97633676;5,011575158;0,394354409
182;1401998935,54456;2,102055021;5,034709734;0,417512654
183;1401998935,65785;2,063893821;5,032946544;0,410076643
184;1401998935,76918;2,032227977;5,02497641;0,404425377
185;1401998935,88052;2,002100145;5,036246274;0,397538174
186;1401998935,99185;2,025968228;5,016196353;0,403885352
187;1401998936,10318;2,038394279;5,041750909;0,404302853
188;1401998936,21647;2,074400378;5,028210409;0,412552421
189;1401998936,32780;2,07026573;5,030461198;0,41154591
190;1401998936,43913;1,993225252;5,03563526;0,395823992
191;1401998936,55046;2,045637509;5,022113251;0,407326041
192;1401998936,66180;2,045748235;5,000691659;0,409093056
193;1401998936,77508;1,963781013;5,018815827;0,391283737
194;1401998936,88641;2,038525895;5,028283026;0,405411924
195;1401998936,99775;2,068101152;5,033103248;0,410899807
196;1401998937,10908;2,003172305;5,028506592;0,398363265
197;1401998937,22139;2,070180634;5,021172922;0,412290249
198;1401998937,33272;2,084787432;5,034600326;0,414091943
199;1401998937,44405;2,08091312;5,030451116;0,413663322
200;1401998937,55734;2,034919168;5,030769623;0,404494604
201;1401998937,66867;2,00765202;5,014861139;0,400340501
202;1401998937,78000;2,159888764;5,026070918;0,429737025
203;1401998937,89133;2,285884538;5,009163006;0,456340617
204;1401998938,00267;2,289609289;5,027290894;0,455436007
205;1401998938,11400;2,186584149;5,037388079;0,434071014
206;1401998938,22533;2,090646924;5,040430317;0,414775484
207;1401998938,33666;2,050358338;5,018383376;0,40856949
208;1401998938,44800;1,972068263;5,036304765;0,391570478
209;1401998938,56128;2,01686248;5,032697943;0,400751744
210;1401998938,67261;2,035309452;5,040889255;0,403760001
211;1401998938,78395;2,039055514;5,029474399;0,405421194
212;1401998938,89723;2,143197453;5,02915683;0,426154428
213;1401998939,00856;2,073624859;5,025539126;0,412617394
214;1401998939,11990;2,055393716;5,023272853;0,409174213
215;1401998939,23123;1,959577319;5,033825653;0,389281921
216;1401998939,34256;2,077523351;5,044728323;0,411820661
217;1401998939,45389;2,001588883;5,021069639;0,398637945
218;1401998939,56523;2,07353245;5,036398747;0,411709349
219;1401998939,67851;2,036809201;5,033527519;0,404648468
220;1401998939,78984;2,047296641;5,044578819;0,405840946
221;1401998939,90118;2,08623284;5,028533863;0,414878948
222;1401998940,01349;2,038487732;5,035647448;0,404811447
223;1401998940,12677;1,923144102;5,01145717;0,383749484
224;1401998940,24006;2,033668956;5,027933693;0,4044741
225;1401998940,35139;2,007524342;5,031648461;0,398979451
226;1401998940,46272;2,037039734;5,021888814;0,405632185
227;1401998940,57405;2,055052856;5,023389181;0,409096883
228;1401998940,68734;1,98532835;5,028301842;0,394830782
229;1401998940,79867;2,099968259;5,022869173;0,418081417
230;1401998940,91001;2,07049586;5,03586147;0,411150281
231;1401998941,02231;2,079697221;5,02905667;0,413536247
232;1401998941,13365;2,016647901;5,021445987;0,401607009
233;1401998941,24498;1,969650385;5,039654093;0,390830472
234;1401998941,35826;1,984973927;5,039904026;0,393851533
235;1401998941,46960;1,967545697;5,040305301;0,390362404
236;1401998941,58093;2,040336731;5,037765192;0,405008303
237;1401998941,69226;2,04932707;5,017368008;0,408446633
