Sample;Time;Power;Voltage;Current
0;1401982180,23287;1,396950538;5,022988886;0,278111413
1;1401982180,40866;1,47312323;5,030480705;0,292839455
2;1401982180,52195;1,43828333;5,022553956;0,286364934
3;1401982180,63328;1,392909869;5,035033168;0,276643633
4;1401982180,74461;1,372735146;5,043027311;0,272204583
5;1401982180,85594;1,410661021;5,02951794;0,280476387
6;1401982180,96825;1,436514804;5,041289114;0,284949895
7;1401982181,07959;1,518242343;5,019176785;0,302488318
8;1401982181,19092;1,468352949;5,025698277;0,292168942
9;1401982181,30225;1,848363221;5,025104225;0,367825848
10;1401982181,43604;2,285726348;5,025331027;0,454840952
11;1401982181,56496;2,508584283;5,030218104;0,498702885
12;1401982181,67824;2,497245307;5,025482209;0,496916555
13;1401982181,79153;2,473139949;5,009623389;0,493677819
14;1401982181,90384;2,334976216;5,024482096;0,46471978
15;1401982182,01517;2,485136096;5,028562391;0,494204089
16;1401982182,12748;2,441354364;5,015196256;0,486791391
17;1401982182,23881;1,975732824;5,028076629;0,392940078
18;1401982182,35112;1,963073623;5,022985679;0,390818081
19;1401982182,46343;2,020717964;5,015422767;0,402900824
20;1401982182,57476;2,069471272;5,025593808;0,411786418
21;1401982182,68707;1,949310728;5,034076949;0,387223069
22;1401982182,80035;1,961714654;5,029368625;0,390051873
23;1401982182,91169;1,893124757;5,035380329;0,375964601
24;1401982183,02400;2,061112624;5,031440634;0,409646615
25;1401982183,13631;1,995215262;5,024402892;0,39710495
26;1401982183,24764;2,003742914;5,015399254;0,399518127
27;1401982183,35995;1,982724987;5,02416512;0,394637704
28;1401982183,47323;1,992934549;5,037614042;0,395610806
29;1401982183,58554;2,067252604;5,021001194;0,411721193
30;1401982183,69883;1,963668065;5,014934195;0,391564074
31;1401982183,81114;1,951491733;5,02510815;0,388348206
32;1401982183,92247;2,021603525;5,030490985;0,401870022
33;1401982184,03380;2,0145967;5,023318129;0,401048997
34;1401982184,14709;2,026028016;5,034640804;0,402417589
35;1401982184,25940;2,10516509;5,01774415;0,419544127
36;1401982184,37073;2,022771977;5,040385675;0,401312937
37;1401982184,48206;2,041677893;5,029790676;0,40591707
38;1401982184,59339;2,04139888;5,006960548;0,407712196
39;1401982184,70668;2,003093146;5,023464186;0,398747373
40;1401982184,81996;2,008993667;5,022400868;0,400006634
41;1401982184,93130;2,033812392;5,034003608;0,404014886
42;1401982185,04263;2,056806981;5,029566406;0,4089432
43;1401982185,15396;2,092825361;5,038339741;0,41537996
44;1401982185,26529;2,031955719;5,022756453;0,40454992
45;1401982185,37663;2,015974259;5,026882585;0,401038661
46;1401982185,48893;1,992380685;5,037145103;0,39553768
47;1401982185,60027;2,005061723;5,014794114;0,39982932
48;1401982185,71160;2,042617255;5,016287653;0,407196994
49;1401982185,82488;1,985004918;5,01800061;0,395576859
50;1401982185,93622;1,942443533;5,042181095;0,385238748
51;1401982186,04755;1,891852377;5,03048578;0,376077472
