Sample;Time;Power;Voltage;Current
0;1401133940,90512;5,235198276;5,058636554;1,034903026
1;1401133941,02817;5,098076716;5,062156243;1,007095884
2;1401133941,14048;5,126388642;5,062094713;1,012701052
3;1401133941,25377;5,08004826;5,06074552;1,003814209
4;1401133941,36705;5,044710518;5,06435415;0,996121197
5;1401133941,47839;5,082047784;5,064597545;1,003445533
6;1401133941,58972;5,12094454;5,04717021;1,014616969
7;1401133941,70300;5,204649115;5,059649161;1,028658104
8;1401133941,81824;5,142293653;5,069870697;1,014284971
9;1401133941,92957;5,17971241;5,061330529;1,023389478
10;1401133942,09169;5,1895996;5,056499021;1,026322675
11;1401133942,21181;5,249859581;5,060364459;1,037446932
12;1401133942,32314;5,145890877;5,063949408;1,016181336
13;1401133942,43448;5,089799477;5,055032089;1,006877778
14;1401133942,54874;5,121563418;5,056793367;1,012808522
15;1401133942,66202;5,010218348;5,056002606;0,990944574
16;1401133942,77531;5,03405685;5,057798924;0,995305849
17;1401133942,88762;5,103164202;5,049886172;1,010550343
18;1401133943,00091;5,200279866;5,050162615;1,029725231
19;1401133943,11224;5,047478155;5,054858743;0,998539902
20;1401133943,22455;5,306949031;5,061198367;1,048555825
21;1401133943,33881;5,050196341;5,050212704;0,99999676
22;1401133943,45307;5,177245073;5,048515405;1,025498519
23;1401133943,56636;5,087454391;5,059929326;1,005439812
24;1401133943,67769;5,295597791;5,046943938;1,049268202
25;1401133943,79000;5,273409492;5,069185098;1,040287421
26;1401133943,90133;5,269868796;5,058912626;1,041699904
27;1401133944,01364;5,840138162;5,052928471;1,155792764
28;1401133944,12595;5,758176476;5,048752194;1,140514776
29;1401133944,23923;5,840769268;5,048203462;1,156999577
30;1401133944,35350;5,521552526;5,061026182;1,090994657
31;1401133944,46581;5,416228888;5,057075851;1,071019903
32;1401133944,57811;5,326253368;5,058144561;1,053005367
33;1401133944,69140;5,426708628;5,065310641;1,071347645
34;1401133944,80273;5,572147941;5,06912206;1,099233334
35;1401133944,91504;5,555987016;5,051049694;1,099966809
36;1401133945,02930;5,789074932;5,065257493;1,142898449
37;1401133945,14161;6,813312456;5,044970616;1,350515786
38;1401133945,25294;6,556283023;5,052868958;1,297536722
39;1401133945,36428;6,551140543;5,054892602;1,295999947
40;1401133945,47756;5,689040553;5,053147723;1,125840934
41;1401133945,59085;5,897318204;5,051524002;1,167433472
42;1401133945,70218;6,686608468;5,050541721;1,323938864
43;1401133945,81351;6,733291424;5,043940023;1,334926941
44;1401133945,92680;7,316360472;5,053133686;1,447885792
45;1401133946,04008;7,907705179;5,050588159;1,565699861
46;1401133946,15142;7,584085304;5,059455024;1,498992533
47;1401133946,26275;7,534845604;5,05369164;1,490958717
48;1401133946,37603;7,634275327;5,056780819;1,509710545
