Sample;Time;Power;Voltage;Current
0;1401129941,40966;3,76711816;5,067270359;0,743421585
1;1401129941,53076;3,841643488;5,063929041;0,758629013
2;1401129941,64307;3,781152464;5,072804159;0,745377181
3;1401129941,75440;3,765722445;5,058209849;0,744477307
4;1401129941,86769;3,876007324;5,05705737;0,766455083
5;1401129941,97902;3,775923781;5,061422995;0,746020197
6;1401129942,09231;3,732618639;5,074769712;0,735524733
7;1401129942,20462;3,70365907;5,074208139;0,729898926
8;1401129942,31790;3,780159383;5,063012188;0,746622612
9;1401129942,43119;3,824267995;5,07177378;0,754029687
10;1401129942,54350;3,891979348;5,065032498;0,768401654
11;1401129942,65483;3,803411908;5,064464452;0,750999823
12;1401129942,76811;3,862958176;5,072076805;0,761612713
13;1401129942,88042;3,823885736;5,061655063;0,755461541
14;1401129942,99176;3,68926241;5,066999317;0,728096094
15;1401129943,10406;3,800671431;5,062864253;0,750695899
16;1401129943,21540;3,97707426;5,061732732;0,785713998
17;1401129943,32771;3,847116806;5,05937301;0,760393985
18;1401129943,44002;3,8952377;5,059630195;0,769866087
19;1401129943,55232;4,097077045;5,060927204;0,809550677
20;1401129943,66659;4,443396396;5,058881055;0,878335811
21;1401129943,77792;4,377606215;5,052423654;0,866436885
22;1401129943,89023;4,168121617;5,06076719;0,823614575
23;1401129944,00156;4,079170561;5,057293818;0,80659157
24;1401129944,11485;4,109248901;5,064385379;0,811401304
25;1401129944,22813;4,168434264;5,074306027;0,821478689
26;1401129944,33946;4,06098893;5,058631361;0,802784121
27;1401129944,45275;4,129825035;5,063132782;0,815665955
28;1401129944,56408;4,119279605;5,061279309;0,813881107
29;1401129944,67639;5,099561332;5,071304972;1,005571812
30;1401129944,78968;4,686542668;5,065707378;0,925150688
31;1401129944,90296;4,52782058;5,065455963;0,893862391
32;1401129945,01625;4,996220375;5,07202742;0,985053897
33;1401129945,13149;5,62687874;5,063117734;1,111346612
34;1401129945,24380;5,788142302;5,061556491;1,143549877
35;1401129945,35513;5,665171597;5,063495368;1,118826263
36;1401129945,46841;4,718583918;5,056125542;0,933241052
37;1401129945,57975;5,573873843;5,074256652;1,098461159
38;1401129945,69108;5,615161839;5,052497411;1,111363625
39;1401129945,80339;5,671527408;5,057022868;1,121515081
40;1401129945,91570;5,557379899;5,058183899;1,098690757
41;1401129946,03191;5,619256046;5,05358486;1,111934637
42;1401129946,14520;5,660092093;5,05609477;1,119459257
43;1401129946,25653;5,640620546;5,065803526;1,113470058
44;1401129946,36786;5,656390141;5,063450992;1,117101785
45;1401129946,47919;5,73717338;5,0568228;1,134541116
46;1401129946,59053;5,633935771;5,066706955;1,111952165
47;1401129946,70186;5,670499643;5,063617376;1,119851526
48;1401129946,81319;5,666780862;5,055463909;1,120922029
49;1401129946,92452;5,65968105;5,058042129;1,118946997
50;1401129947,03879;5,589747874;5,061469795;1,104372465
51;1401129947,15110;5,764801813;5,062071619;1,138822649
52;1401129947,26243;5,8573657;5,054086992;1,158936462
53;1401129947,37376;5,727835498;5,059442787;1,132107969
54;1401129947,48509;5,727721789;5,05674395;1,1326897
55;1401129947,59643;5,787665491;5,063085128;1,143110444
56;1401129947,70776;5,744874487;5,067937102;1,13357257
57;1401129947,81909;5,62713246;5,054930112;1,113196886
58;1401129947,93238;5,600010312;5,053487911;1,108147563
59;1401129948,04371;5,656324624;5,044122007;1,12136951
60;1401129948,15699;5,748850001;5,063932463;1,135254082
61;1401129948,27028;5,735599131;5,070382225;1,1311966
62;1401129948,38161;5,701710748;5,062386702;1,126289058
63;1401129948,49294;5,72289128;5,060787577;1,130830171
64;1401129948,60623;5,661243318;5,058512347;1,119151824
65;1401129948,71951;5,791700358;5,050954597;1,146654607
66;1401129948,83182;5,590146576;5,066453904;1,103364736
67;1401129948,94316;5,7227195;5,065931702;1,129647977
68;1401129949,05449;5,658894654;5,052556455;1,12000622
69;1401129949,16777;5,718186561;5,06348838;1,129297854
70;1401129949,27911;5,542626447;5,048366363;1,097904955
71;1401129949,39044;5,598060306;5,067313758;1,104739231
72;1401129949,50177;5,567091266;5,061990658;1,099782999
73;1401129949,61506;5,776286751;5,061043653;1,141323242
74;1401129949,72639;5,603733831;5,058315716;1,107826033
75;1401129949,83772;5,665011741;5,063566676;1,118778937
76;1401129949,94905;5,555740501;5,060125764;1,097945142
77;1401129950,06039;5,627694887;5,057711452;1,112695918
78;1401129950,17367;5,608761065;5,063274371;1,107733979
79;1401129950,28500;5,564138455;5,056195202;1,100459581
80;1401129950,39634;5,62355287;5,05390387;1,112714649
81;1401129950,50962;5,592002413;5,066166331;1,103793687
82;1401129950,62193;5,587562572;5,060646758;1,104120252
83;1401129950,73522;5,514895101;5,05921421;1,090069499
84;1401129950,84850;5,645870085;5,06470233;1,11474865
85;1401129950,96277;5,73620027;5,064051589;1,13272943
86;1401129951,07800;5,635511778;5,052597094;1,115369319
87;1401129951,19031;5,715984795;5,063499853;1,128860464
