Sample;Time;Power;Voltage;Current
0;1401214401,64285;13,19912879;5,028267516;2,624985395
1;1401214401,76298;13,17016691;5,01528245;2,626007018
2;1401214401,87626;13,17319093;5,021461565;2,623377828
3;1401214401,98759;13,22667491;5,027334004;2,63095209
4;1401214402,10088;13,08738459;5,013424752;2,61046794
5;1401214402,21514;13,18412752;5,033979755;2,619026727
6;1401214402,32843;13,19713339;5,037677456;2,619686056
7;1401214402,44171;13,02542884;5,021763002;2,59379601
8;1401214402,55305;13,1352084;5,029814647;2,611469672
9;1401214402,66535;13,06368639;5,018951405;2,602871662
10;1401214402,80989;13,16420418;5,044935904;2,609389778
11;1401214402,94369;13,11426858;5,019759239;2,612529398
12;1401214403,05599;13,09144207;5,026009415;2,604738868
13;1401214403,16928;13,14955398;5,017898543;2,620530062
14;1401214403,28257;13,11691119;5,028544529;2,60849061
15;1401214403,39487;13,18111326;5,014974356;2,62835108
16;1401214403,50621;13,09793248;5,025483011;2,606303205
17;1401214403,61949;13,0662567;5,029761143;2,597788707
18;1401214403,73082;13,04944977;5,026800844;2,595975089
19;1401214403,84313;13,07238853;5,03390531;2,596868183
20;1401214403,95642;13,1727776;5,020950985;2,623562278
21;1401214404,06971;13,19733229;5,019691766;2,629112086
22;1401214404,18299;13,23655284;5,007324626;2,643438128
23;1401214404,29628;13,27382199;5,036002917;2,635785207
24;1401214404,40761;13,22785584;5,013763352;2,638308773
25;1401214404,51992;13,30299288;5,028356573;2,645594577
26;1401214404,63125;13,31611416;5,025026781;2,649958844
27;1401214404,74454;13,22057651;5,025424612;2,630738203
28;1401214404,85587;13,32291392;5,019417174;2,65427508
29;1401214404,96720;13,71697986;5,037337887;2,723061302
30;1401214405,08146;13,86610221;5,0185609;2,762963823
31;1401214405,19377;14,09559656;5,026693482;2,804148813
32;1401214405,30608;14,54066791;5,023176316;2,894715811
33;1401214405,41937;14,4151855;5,012678098;2,875745303
34;1401214405,53265;13,98982408;5,013451059;2,790457893
35;1401214405,64398;14,165705;5,02879065;2,816920803
36;1401214405,75532;14,33868793;5,022129157;2,855101388
37;1401214405,86665;14,06484998;5,027300267;2,797694435
38;1401214405,97798;14,01467266;5,024998864;2,788990214
39;1401214406,09029;13,99276864;5,006731286;2,79479122
40;1401214406,20162;14,33980487;5,018350107;2,857473983
41;1401214406,31393;14,23441158;5,020829588;2,835071641
42;1401214406,42526;14,53989998;5,021181976;2,895712613
43;1401214406,53660;15,76109722;5,00133961;3,151375122
44;1401214406,64793;16,32048556;5,014726746;3,25451144
45;1401214406,75926;15,55189615;5,023268908;3,095971256
46;1401214406,87059;14,3152728;5,028061849;2,847075719
47;1401214406,98193;14,73258581;5,022899467;2,933083949
48;1401214407,09521;14,86073949;5,019006892;2,960892426
49;1401214407,20654;14,49220417;5,020570647;2,886565131
50;1401214407,31788;14,63017461;5,023586848;2,912296542
51;1401214407,43019;13,93441474;5,027590228;2,771589192
52;1401214407,54152;14,44620143;5,02011872;2,877661313
53;1401214407,65285;15,80474993;5,015701165;3,15105494
54;1401214407,76418;16,24438434;5,01019911;3,242263228
55;1401214407,87551;17,86711373;5,017812574;3,560737566
56;1401214407,98880;17,91123755;5,021305834;3,567047724
57;1401214408,10013;19,9626012;5,007378954;3,986636797
58;1401214408,21147;20,09768197;5,00465657;4,015796426
59;1401214408,32280;20,44129034;5,009746777;4,080304105
60;1401214408,43511;20,52699499;5,005531771;4,100861992
61;1401214408,54644;20,50309037;5,012797846;4,090149055
62;1401214408,65777;20,61884813;5,006010967;4,118818011
63;1401214408,76910;20,40854181;5,017305482;4,067629902
64;1401214408,88044;20,53272334;4,994811311;4,110810613
65;1401214408,99177;20,61623617;5,012863265;4,112666769
66;1401214409,10310;20,24267176;5,006927503;4,042932867
67;1401214409,21443;20,28260015;5,001383533;4,055397875
68;1401214409,32577;20,47738564;5,014208844;4,083871709
69;1401214409,43710;20,41819431;5,002736288;4,081405282
70;1401214409,54843;20,06190677;5,001156116;4,011453812
71;1401214409,65976;20,15139849;5,002881089;4,027958717
72;1401214409,77305;20,26003773;5,011657798;4,042582025
73;1401214409,88438;20,58532728;5,00333887;4,11431802
74;1401214409,99571;20,22060517;5,016373794;4,030920741
75;1401214410,10705;20,35444259;5,011025323;4,061931695
76;1401214410,21838;20,24132703;5,009233878;4,04080295
77;1401214410,33166;20,45325447;5,005668148;4,086018863
78;1401214410,44495;20,50777925;5,006507848;4,096224329
79;1401214410,55824;20,5139077;5,001007638;4,101954883
80;1401214410,66957;20,46865897;5,00481332;4,089794695
81;1401214410,78090;20,55177247;5,013500223;4,099286238
82;1401214410,89223;20,7095372;5,00007588;4,141844583
83;1401214411,00356;20,35250967;5,002683246;4,068318673
84;1401214411,11490;20,43434415;5,00754065;4,080714582
85;1401214411,22623;20,53398187;4,999189984;4,107461796
86;1401214411,33756;20,46311401;5,006286096;4,087483938
87;1401214411,44889;20,32325977;5,001912494;4,063097824
88;1401214411,56023;20,33265425;5,001962343;4,06493549
89;1401214411,67156;20,27802565;4,99524152;4,059468511
90;1401214411,78484;20,56892929;5,016198393;4,100501551
91;1401214411,89618;20,37915854;5,011140349;4,066770658
92;1401214412,00946;20,52270394;5,01251287;4,094294513
93;1401214412,12177;20,43495752;5,009209773;4,079477291
94;1401214412,23603;20,77996148;5,014488728;4,143984084
95;1401214412,34737;20,28747722;5,014925354;4,045419579
96;1401214412,45968;20,36703377;5,010195101;4,065117897
97;1401214412,57101;20,42228412;5,015236746;4,072047872
98;1401214412,68234;20,41621899;5,004409722;4,079645777
99;1401214412,79367;20,30769922;4,991034836;4,068835401
100;1401214412,90598;20,45760131;5,016962266;4,0776869
101;1401214413,01927;20,46136191;5,005985989;4,087378982
102;1401214413,13255;20,45416662;5,007193846;4,084956014
103;1401214413,24486;20,58382168;4,99968706;4,117022012
104;1401214413,35619;20,40852079;5,009850096;4,073678932
105;1401214413,46753;20,57008933;5,012781128;4,103528321
106;1401214413,57886;20,58977414;5,014165579;4,106321144
107;1401214413,69019;20,62795822;5,009227628;4,117991785
108;1401214413,80348;20,49747537;5,018048027;4,084750736
109;1401214413,93141;20,52118953;5,018990039;4,088708958
110;1401214414,04372;20,58681406;5,00908181;4,109897749
111;1401214414,15798;20,47573412;5,004133779;4,091763934
112;1401214414,27029;20,5583089;5,004291902;4,108135436
113;1401214414,38260;20,43033565;5,015392562;4,073526729
114;1401214414,49686;20,60700784;5,010232569;4,112984289
115;1401214414,61015;20,71283855;5,020259435;4,125850231
116;1401214414,72246;20,38167139;4,997407702;4,078448788
117;1401214414,83574;20,49166374;5,00589536;4,09350621
118;1401214414,95001;20,51469189;5,002267832;4,101078266
119;1401214415,06329;20,60843841;4,999966962;4,121714917
120;1401214415,18244;20,29780474;5,005490964;4,055107657
121;1401214415,29572;20,31050969;4,998554846;4,06327635
122;1401214415,41194;20,64547559;5,021936732;4,111058481
123;1401214415,52327;20,72958414;5,001552862;4,14462962
124;1401214415,63851;20,39490662;4,993244798;4,084499648
125;1401214415,75472;20,42593633;5,016273079;4,071934683
126;1401214415,86703;20,51309228;5,008993245;4,095252535
127;1401214415,97934;20,61279397;5,01065165;4,113795052
128;1401214416,09263;20,60925503;5,013590719;4,110677594
129;1401214416,20591;20,8511683;5,008165627;4,16343425
130;1401214416,31725;20,95518247;5,009985182;4,182683522
131;1401214416,43053;20,79854861;4,999242757;4,160339799
132;1401214416,54479;20,98627678;5,008674052;4,189986524
133;1401214416,66296;20,7439138;5,009246019;4,141124976
134;1401214416,77429;20,6269251;5,001269325;4,124337994
135;1401214416,88563;20,47859671;5,002415155;4,093741938
136;1401214416,99794;20,30722351;4,992181792;4,067805292
137;1401214417,11122;20,51563231;5,017136691;4,089111693
138;1401214417,22451;20,5075312;5,00037116;4,1012018
139;1401214417,34658;20,73643954;5,017600377;4,13274035
140;1401214417,49014;20,74936604;5,00894148;4,142465255
141;1401214417,61808;20,42026968;5,006428905;4,078809481
142;1401214417,73136;20,45538674;4,99222312;4,097450424
143;1401214417,85246;20,66769485;5,017666772;4,118985136
144;1401214417,96575;20,54935603;5,003780107;4,106766402
145;1401214418,08001;20,39683775;5,010609625;4,070729767
146;1401214418,19232;20,42305673;5,006040484;4,079682695
147;1401214418,30463;20,48221603;5,00181728;4,09495487
148;1401214418,41694;20,48690526;5,00223856;4,095547427
149;1401214418,52924;20,4318834;4,998580711;4,087536959
150;1401214418,64155;20,48565335;5,009212109;4,08959591
151;1401214418,75386;20,57810482;5,00227778;4,113746922
152;1401214418,86715;20,69218635;5,008267791;4,131605421
153;1401214418,97848;20,51170326;5,000146484;4,102220469
154;1401214419,09079;20,55781422;5,011850307;4,10184123
155;1401214419,20408;20,64846276;5,000462919;4,129310245
156;1401214419,31736;20,63754647;5,018036024;4,112674037
157;1401214419,43065;20,54914353;5,009974442;4,10164638
158;1401214419,54491;20,33714359;4,997119818;4,069773055
