Sample;Time;Power;Voltage;Current
0;1401148005,86457;10,27086224;5,035789308;2,039573463
1;1401148005,98762;10,38977265;5,043786004;2,059915437
2;1401148006,10188;10,42572118;5,03861937;2,069162288
3;1401148006,21419;10,48082289;5,040307223;2,079401597
4;1401148006,32748;10,39953806;5,045736093;2,061054694
5;1401148006,43979;10,45513136;5,040492243;2,074228241
6;1401148006,55307;10,39136842;5,050813124;2,057365451
7;1401148006,66440;10,39217923;5,047756292;2,058771983
8;1401148006,77769;10,40802432;5,049268765;2,061293388
9;1401148006,89098;10,49469283;5,060858303;2,073698216
10;1401148007,00231;10,48540902;5,038295356;2,081142189
11;1401148007,12048;10,33954834;5,048633862;2,047989343
12;1401148007,23376;10,35165095;5,0333323;2,056619817
13;1401148007,35095;10,48929145;5,04932193;2,077366346
14;1401148007,46326;10,29604401;5,037626332;2,043828448
15;1401148007,57655;10,38622488;5,050222292;2,056587666
16;1401148007,68788;10,29545061;5,052582648;2,037661001
17;1401148007,80019;10,40012536;5,050719594;2,059137349
18;1401148007,91152;10,50186133;5,050231869;2,079481022
19;1401148008,02383;10,46657297;5,037737691;2,077633575
20;1401148008,13614;10,35286976;5,041580957;2,053496681
21;1401148008,24747;10,50178026;5,052755072;2,078426544
22;1401148008,36076;10,44729305;5,033400783;2,075593321
23;1401148008,47209;10,38260716;5,04309523;2,05877674
24;1401148008,58440;10,23756553;5,036838306;2,032538055
25;1401148008,69573;10,52003091;5,048524963;2,083783083
26;1401148008,80707;10,54977523;5,047913544;2,089927875
27;1401148008,92035;10,32441308;5,044383331;2,046714614
28;1401148009,03266;10,42514874;5,030801736;2,072263883
29;1401148009,14595;10,40301781;5,044169614;2,062384615
30;1401148009,25728;10,47827814;5,045952088;2,076571072
31;1401148009,37056;10,30472248;5,050927078;2,040164571
32;1401148009,48385;10,50478775;5,041785219;2,083545272
33;1401148009,59518;10,37631792;5,04302449;2,057558503
34;1401148009,70944;10,46000144;5,053977776;2,069657189
35;1401148009,82273;10,41672159;5,046392103;2,064191878
36;1401148009,93504;10,3544884;5,032802489;2,05740011
37;1401148010,04637;10,49350519;5,042322817;2,081085558
38;1401148010,15966;10,34885705;5,034615292;2,055540781
39;1401148010,27294;10,4724938;5,03305452;2,080743167
40;1401148010,38427;10,49549897;5,05034081;2,078176377
41;1401148010,49561;11,092899;5,050287293;2,196488705
42;1401148010,60889;11,26973969;5,039486216;2,236287432
43;1401148010,72218;11,52709934;5,036036776;2,288922789
44;1401148010,83351;11,63702464;5,039045506;2,309370817
45;1401148010,94582;11,30669944;5,039968733;2,243406662
46;1401148011,05910;11,27322918;5,042925639;2,235454176
47;1401148011,17044;11,4634403;5,044315784;2,272546127
48;1401148011,28372;11,4409405;5,041220379;2,269478348
49;1401148011,39701;11,45740859;5,028839764;2,278340359
50;1401148011,50834;11,32402992;5,024681301;2,253681228
51;1401148011,62163;11,73403917;5,042330957;2,327106108
52;1401148011,73491;11,8000732;5,03721551;2,342578588
53;1401148011,84624;12,1364906;5,054902131;2,400934832
54;1401148011,95855;12,963356;5,037689834;2,573273946
55;1401148012,06989;13,63683631;5,04424125;2,703446492
56;1401148012,18317;12,36983602;5,039646833;2,454504538
57;1401148012,29646;15,53272237;5,031848956;3,086881682
58;1401148012,40974;15,21150964;5,035192209;3,021038524
59;1401148012,52303;13,83698709;5,044416003;2,743030527
60;1401148012,63631;14,51107652;5,032206638;2,883640829
61;1401148012,74960;15,33837524;5,037430541;3,044880741
62;1401148012,86093;15,83808345;5,034007484;3,1462177
63;1401148012,97226;16,03533006;5,025541032;3,190766916
64;1401148013,08360;15,91609462;5,03882033;3,15869461
65;1401148013,19786;16,12713503;5,022121804;3,211219412
66;1401148013,30919;16,09022913;5,024839836;3,20213771
67;1401148013,42052;16,04373287;5,04183517;3,182121655
68;1401148013,53381;16,14317046;5,023764177;3,213361513
69;1401148013,64514;16,11690117;5,020046073;3,210508616
70;1401148013,75843;16,2284112;5,037703055;3,221390983
71;1401148013,86976;16,02949492;5,03015399;3,186680757
72;1401148013,98207;15,98266857;5,036099365;3,173620575
73;1401148014,09340;16,05990936;5,048895682;3,180875655
74;1401148014,20473;15,96693445;5,023695118;3,178324733
75;1401148014,31802;15,85043522;5,028285451;3,152254456
76;1401148014,43130;15,81314533;5,034621714;3,140880532
77;1401148014,54264;15,85222943;5,0259659;3,154066252
78;1401148014,65592;15,86688016;5,033464518;3,152278137
79;1401148014,76725;15,90486326;5,035666425;3,158442581
80;1401148014,87859;15,98346541;5,0305655;3,177270111
81;1401148014,99090;15,88628897;5,035238336;3,155022248
82;1401148015,10223;15,98289966;5,036885936;3,173170856
83;1401148015,21356;15,96326281;5,024694748;3,176961709
84;1401148015,32685;16,00300331;5,022780097;3,186084798
85;1401148015,43818;16,18607336;5,040316301;3,211320955
86;1401148015,54951;16,07898765;5,012614314;3,20770493
87;1401148015,66280;16,17871568;5,035851734;3,212706912
88;1401148015,77608;16,08684968;5,028402531;3,199196878
89;1401148015,88742;16,07978326;5,031654196;3,195725032
90;1401148015,99875;16,14642681;5,035771938;3,206345921
91;1401148016,11203;16,04998713;5,028851398;3,191581111
92;1401148016,22532;16,07353925;5,02246042;3,200331692
93;1401148016,33763;16,024833;5,041830105;3,178376237
94;1401148016,45091;16,22504488;5,02084637;3,231535817
95;1401148016,56518;15,95821979;5,02644567;3,174851742
96;1401148016,67748;16,23937674;5,03132016;3,2276572
97;1401148016,78979;16,25279836;5,035730179;3,22749587
98;1401148016,90308;16,29333801;5,044394016;3,229989163
99;1401148017,01636;16,08341368;5,037602195;3,192672438
100;1401148017,13063;16,35156774;5,042567718;3,242706623
101;1401148017,24587;16,2800566;5,029140155;3,237145139
102;1401148017,37478;16,37788781;5,025244633;3,259122492
