Sample;Time;Power;Voltage;Current
0;1401139179,85309;6,513993374;5,076004425;1,283291508
1;1401139179,98297;6,400574172;5,059354377;1,265097025
2;1401139180,09724;6,406844237;5,058289302;1,266602967
3;1401139180,21052;6,407734024;5,057187904;1,267054764
4;1401139180,32185;6,32433963;5,059305655;1,250041026
5;1401139180,43514;6,394208377;5,070831434;1,260978295
6;1401139180,54843;6,456876649;5,062994622;1,275307823
7;1401139180,66171;6,363574776;5,044514199;1,261484164
8;1401139180,77500;6,41438395;5,07111246;1,264886946
9;1401139180,88731;6,336530938;5,06750277;1,250424761
10;1401139181,01817;6,488712204;5,058497075;1,28273519
11;1401139181,17638;6,533727307;5,062524619;1,290606525
12;1401139181,29259;6,469227497;5,055697608;1,279591463
13;1401139181,40588;6,404420337;5,061040325;1,265435548
14;1401139181,51819;6,582929063;5,058400996;1,301385372
15;1401139181,63147;6,351979163;5,056188914;1,256278053
16;1401139181,74281;6,444167369;5,057586617;1,274158578
17;1401139181,85512;6,404895415;5,05338203;1,267447301
18;1401139181,97524;6,430759447;5,05355748;1,272521283
19;1401139182,08852;6,419084818;5,060041947;1,268583321
20;1401139182,19986;6,44088159;5,054725503;1,274229745
21;1401139182,31119;6,404667318;5,054554942;1,267108062
22;1401139182,42252;6,438563689;5,054861779;1,273736844
23;1401139182,53581;6,527919134;5,068632289;1,287905447
24;1401139182,64812;6,408636717;5,053730468;1,26810022
25;1401139182,76042;6,524124293;5,064452689;1,288219023
26;1401139182,87176;6,429045281;5,052816172;1,272368727
27;1401139182,98407;6,39532566;5,049080897;1,266631649
28;1401139183,09833;6,379174503;5,067007512;1,258962906
29;1401139183,21064;6,445443784;5,060962912;1,273560762
30;1401139183,32392;6,424207231;5,060452768;1,269492578
31;1401139183,43721;6,406199008;5,056592467;1,266900398
32;1401139183,55147;6,374605773;5,054706785;1,26112276
33;1401139183,66280;6,437428208;5,052279287;1,274163173
34;1401139183,77413;6,438338179;5,061805611;1,271944969
35;1401139183,88644;6,470619889;5,053956222;1,280307863
36;1401139183,99875;6,395811518;5,056651579;1,264831365
37;1401139184,11009;6,423425746;5,054932507;1,270724335
38;1401139184,22337;6,359278733;5,052832925;1,258557096
39;1401139184,33470;6,430398561;5,068295517;1,268749729
40;1401139184,44701;6,520333029;5,060170056;1,28856006
41;1401139184,56030;6,430478086;5,05092832;1,273127964
42;1401139184,67358;6,501217588;5,056230793;1,285783394
43;1401139184,78492;6,738559329;5,052453911;1,333720099
44;1401139184,89625;7,162912565;5,065683404;1,414007153
45;1401139185,00758;7,223970933;5,05482738;1,429123171
46;1401139185,11989;6,774306183;5,051348053;1,341088777
47;1401139185,23318;6,808006812;5,050511681;1,347983579
48;1401139185,34646;6,797059256;5,052451011;1,345299389
49;1401139185,45975;6,691022937;5,059702159;1,322414389
50;1401139185,57108;6,788846469;5,056312521;1,342647718
51;1401139185,68339;6,925254296;5,064662723;1,36736732
52;1401139185,79472;7,017189038;5,057207851;1,38756192
53;1401139185,90801;7,153989186;5,055722217;1,415028136
54;1401139186,02031;7,188735832;5,058298569;1,421176653
55;1401139186,13165;6,875789991;5,05165761;1,361095807
56;1401139186,24396;7,755963138;5,055130005;1,534275702
57;1401139186,35529;7,328220805;5,052723983;1,45035051
58;1401139186,46760;7,150983494;5,056520114;1,414210432
59;1401139186,57991;7,889480136;5,053683868;1,56113448
60;1401139186,69124;8,786064959;5,054080214;1,738410272
61;1401139186,80452;9,296514627;5,052385292;1,840024877
62;1401139186,91879;9,76796633;5,046855941;1,935455746
63;1401139187,03110;9,475140199;5,042657744;1,878997283
64;1401139187,14243;9,563211162;5,048324842;1,894333558
65;1401139187,25474;9,693191835;5,059176442;1,9159624
66;1401139187,36607;9,612934698;5,041970271;1,906582979
67;1401139187,47740;9,608170409;5,061620658;1,898239923
68;1401139187,58873;9,704069261;5,05115196;1,921159636
69;1401139187,70202;9,696911159;5,060189682;1,916313768
70;1401139187,81531;9,702011437;5,054627737;1,919431448
71;1401139187,92761;9,658653244;5,054830899;1,910776728
72;1401139188,04188;9,64424794;5,049541204;1,909925585
73;1401139188,15516;9,85713958;5,044930552;1,953870222
74;1401139188,26747;9,798252157;5,050342934;1,940116203
75;1401139188,37978;9,71294453;5,053338851;1,92208455
76;1401139188,49111;9,726741435;5,05352975;1,924742094
77;1401139188,60342;9,824548387;5,056375195;1,943002251
78;1401139188,71671;9,813855699;5,047734806;1,944209844
79;1401139188,82804;9,784790631;5,048584243;1,938125653
80;1401139188,94133;9,73355328;5,048217809;1,928116743
81;1401139189,05266;9,765343886;5,049110816;1,934072006
82;1401139189,16399;9,868510654;5,049053937;1,954526685
83;1401139189,27532;9,707238887;5,052320474;1,921342666
84;1401139189,38861;9,580415783;5,053099441;1,895948397
85;1401139189,50287;9,567652547;5,03452527;1,900408089
86;1401139189,61616;9,600300035;5,051917992;1,900327767
87;1401139189,72847;9,613685282;5,053093058;1,902534779
88;1401139189,84077;9,634323449;5,045759817;1,909390022
89;1401139189,95211;9,596394159;5,047763812;1,901117904
90;1401139190,06344;9,557375037;5,04976591;1,892637244
91;1401139190,17575;9,58357143;5,051516698;1,897167129
92;1401139190,28708;9,52913139;5,0612624;1,882757825
93;1401139190,39841;9,621492749;5,053959606;1,903753393
94;1401139190,50975;9,715989504;5,050763776;1,923667377
